,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres
713709,3816,2150,4,965951115,F,25,3,90020,"Gods Must Be Crazy, The (1980)",Comedy
45062,331,1962,4,978886388,M,25,7,55902,Driving Miss Daisy (1989),Drama
695852,752,785,3,996516581,F,25,3,97401,Kingpin (1996),Comedy
685722,569,2042,3,976238572,F,18,4,97339,D2: The Mighty Ducks (1994),Children's|Comedy
853959,148,258,3,977354311,M,50,17,57747,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance
212852,3610,2081,3,974824654,M,18,6,30064,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance
382191,4089,3481,4,970753304,M,25,7,79416,High Fidelity (2000),Comedy
375275,5169,3252,4,961892328,F,50,4,53562,Scent of a Woman (1992),Drama
830983,2887,3271,3,972356929,M,25,3,66205,Of Mice and Men (1992),Drama
563789,3422,3101,2,967362410,M,25,5,43221,Fatal Attraction (1987),Thriller
812506,5108,1235,3,962340317,F,25,9,93940,Harold and Maude (1971),Comedy
454443,1369,750,5,975000951,M,25,5,12308,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
965972,4887,3272,3,962741283,M,18,2,19072,Bad Lieutenant (1992),Crime|Drama
26819,2498,527,4,974087794,M,56,18,70817,Schindler's List (1993),Drama|War
81617,1530,3108,5,974745303,M,25,4,53711,"Fisher King, The (1991)",Comedy|Drama|Romance
407868,1837,3755,3,974918814,M,25,2,08817,"Perfect Storm, The (2000)",Action|Adventure|Thriller
203551,4482,3552,3,965017228,F,35,1,94044,Caddyshack (1980),Comedy
899946,4680,448,3,963682684,M,35,0,04473,Fearless (1993),Drama
703211,4935,1717,3,962646551,M,35,17,62958,Scream 2 (1997),Horror|Thriller
534048,5265,541,4,961220748,M,45,1,97405,Blade Runner (1982),Film-Noir|Sci-Fi
964178,4169,3432,1,971581597,M,50,0,66048,Death Wish 3 (1985),Action|Drama
322414,4508,357,4,964986957,M,25,20,15701,Four Weddings and a Funeral (1994),Comedy|Romance
871789,2929,1970,4,971589034,M,18,2,60614,"Nightmare on Elm Street 3: Dream Warriors, A (1987)",Horror
51650,2106,1207,5,999574695,F,18,20,495321,To Kill a Mockingbird (1962),Drama
187853,4124,1431,3,965444746,M,25,18,62330-1408,Beverly Hills Ninja (1997),Action|Comedy
222789,3780,1201,5,966033331,M,1,0,46979,"Good, The Bad and The Ugly, The (1966)",Action|Western
229164,1367,39,4,974769851,M,25,12,53707,Clueless (1995),Comedy|Romance
150374,5005,1954,3,962589032,M,45,16,92807,Rocky (1976),Action|Drama
292920,4386,16,4,965240556,M,25,5,74055,Casino (1995),Drama|Thriller
725477,1889,1205,2,989089352,M,18,14,80023,"Transformers: The Movie, The (1986)",Action|Animation|Children's|Sci-Fi|Thriller|War
48587,3716,260,4,966264473,M,18,12,36115,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
509345,3590,2000,5,966657892,F,18,15,02115,Lethal Weapon (1987),Action|Comedy|Crime|Drama
354925,389,1393,3,976299408,M,25,6,68128,Jerry Maguire (1996),Drama|Romance
567178,1776,2335,4,974869514,M,25,0,45801,"Waterboy, The (1998)",Comedy
804484,4327,1085,5,965244894,M,35,17,37221,"Old Man and the Sea, The (1958)",Adventure|Drama
985320,1680,444,2,974837450,M,25,20,95380,Even Cowgirls Get the Blues (1993),Comedy|Romance
672860,3999,1391,3,965576486,M,35,17,30701,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War
570330,1974,85,3,974958383,M,35,17,12159,Angels and Insects (1995),Drama|Romance
631759,1643,2664,5,1011843216,M,45,2,90813,Invasion of the Body Snatchers (1956),Horror|Sci-Fi
907222,2131,3923,4,974643271,M,25,0,01701,Return of the Fly (1959),Horror|Sci-Fi
765190,4140,3506,4,965351285,M,25,0,32112,North Dallas Forty (1979),Comedy|Drama
29768,2462,1097,4,974169264,M,35,1,44303,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
63459,1199,648,3,974920015,M,50,13,77459,Mission: Impossible (1996),Action|Adventure|Mystery
279178,179,2734,3,977092342,M,25,0,02135,"Mosquito Coast, The (1986)",Drama
836294,3371,1419,5,1016815504,M,25,2,55405,Walkabout (1971),Drama
394047,5103,223,3,962412716,F,35,16,78222,Clerks (1994),Comedy
567063,216,2335,3,976864068,M,45,13,52761,"Waterboy, The (1998)",Comedy
299168,4379,913,4,965179989,M,25,4,27278,"Maltese Falcon, The (1941)",Film-Noir|Mystery
347122,5787,1380,3,1001122026,M,25,20,90802,Grease (1978),Comedy|Musical|Romance
29457,1597,1097,4,1041528925,M,25,12,10002,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
944643,3578,998,2,966710392,M,50,3,96714,Set It Off (1996),Action|Crime
535403,3012,3254,2,1044067560,M,25,12,78660,Wayne's World 2 (1993),Comedy
757364,3469,2245,4,967226635,M,45,17,02176,Working Girl (1988),Comedy|Drama
1000027,4579,3207,2,1039293615,F,18,4,63332,"Snows of Kilimanjaro, The (1952)",Adventure
862448,2590,1985,3,973840795,M,18,4,94044,Halloween 4: The Return of Michael Myers (1988),Horror
145842,4579,2396,5,969750724,F,18,4,63332,Shakespeare in Love (1998),Comedy|Romance
584186,1179,2528,3,974867988,M,50,1,91030,Logan's Run (1976),Action|Adventure|Sci-Fi
929588,4227,502,1,965325805,M,25,19,11414-2520,"Next Karate Kid, The (1994)",Action|Children's
869523,3402,3814,4,967434043,M,35,20,30306,Love and Death (1975),Comedy
314303,4411,1747,3,969331780,M,18,4,92122,Wag the Dog (1997),Comedy|Drama
273191,5209,2580,3,961944373,M,50,1,46077,Go (1999),Crime
56895,193,608,5,977021467,F,45,15,44106,Fargo (1996),Crime|Drama|Thriller
521291,244,539,5,976736505,M,50,7,19072,Sleepless in Seattle (1993),Comedy|Romance
651981,2837,2985,2,972571619,M,18,0,49506,Robocop (1987),Action|Crime|Sci-Fi
714656,1980,256,2,974774995,M,35,7,06460,Junior (1994),Comedy|Sci-Fi
302331,4362,1734,4,965189582,M,25,17,85016,My Life in Pink (Ma vie en rose) (1997),Comedy|Drama
488482,3600,1020,4,966619739,M,35,20,94506,Cool Runnings (1993),Comedy
461190,4179,2161,4,965330989,F,35,20,94949,"NeverEnding Story, The (1984)",Adventure|Children's|Fantasy
975712,173,970,5,1023477818,M,25,0,45237,Beat the Devil (1954),Comedy|Drama
176210,3029,1968,5,970366844,M,18,4,92037,"Breakfast Club, The (1985)",Comedy|Drama
595287,877,2719,2,975273727,M,25,0,90631,"Haunting, The (1999)",Horror|Thriller
388165,223,1673,3,976905309,M,25,17,28262,Boogie Nights (1997),Drama
157532,2890,380,3,972018169,M,35,7,90069,True Lies (1994),Action|Adventure|Comedy|Romance
976435,173,2864,3,993227727,M,25,0,45237,Splendor (1999),Comedy
648337,5505,707,2,959732057,F,25,4,02141,Mulholland Falls (1996),Crime|Film-Noir|Thriller
684147,5450,3911,4,979078829,M,18,12,02143,Best in Show (2000),Comedy
635243,4124,3638,4,965446308,M,25,18,62330-1408,Moonraker (1979),Action|Romance|Sci-Fi
446944,1389,1278,5,974769002,M,25,17,19801,Young Frankenstein (1974),Comedy|Horror
737573,3650,3104,5,970772205,M,25,0,60611,Midnight Run (1988),Action|Adventure|Comedy|Crime
694081,5151,1350,4,961986104,M,18,19,30662,"Omen, The (1976)",Horror
522036,4748,539,5,963275924,M,45,16,60302,Sleepless in Seattle (1993),Comedy|Romance
831376,2664,1835,3,973462375,M,35,7,52402,City of Angels (1998),Romance
628116,35,1185,4,978100997,M,45,1,02482,My Left Foot (1989),Drama
599088,1980,3535,4,974684393,M,35,7,06460,American Psycho (2000),Comedy|Horror|Thriller
957543,1962,781,2,975777635,F,18,1,60914,Stealing Beauty (1996),Drama
906750,4489,1862,2,965010852,M,18,4,78613,Species II (1998),Horror|Sci-Fi
934492,3315,2861,5,967942688,M,25,12,78731,For Love of the Game (1999),Comedy|Drama
79125,2567,1217,5,973960647,M,25,0,06451,Ran (1985),Drama|War
997477,1778,1494,3,974703940,M,18,4,94704,"Sixth Man, The (1997)",Comedy
135561,5269,1198,3,966914604,M,18,0,37211,Raiders of the Lost Ark (1981),Action|Adventure
385271,5077,25,4,962566553,M,25,2,20037,Leaving Las Vegas (1995),Drama|Romance
883129,1425,374,2,977864412,M,1,10,08872,Richie Rich (1994),Children's|Comedy
991833,4732,1525,2,963637087,M,25,14,24450,Warriors of Virtue (1997),Action|Adventure|Children's|Fantasy
481673,1051,344,4,975111319,F,25,0,60513,Ace Ventura: Pet Detective (1994),Comedy
984844,216,1839,3,976867873,M,45,13,52761,My Giant (1998),Comedy
193742,5082,1291,3,962408635,M,35,1,23185,Indiana Jones and the Last Crusade (1989),Action|Adventure
384206,5519,345,5,959652465,M,35,15,33167,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
637439,710,1614,4,975732098,M,25,20,85207,In & Out (1997),Comedy
855436,5433,3412,2,960047059,F,35,17,45014,"Bear, The (1988)",Adventure
606652,5205,3646,2,1002322773,M,25,1,02908,Big Momma's House (2000),Comedy
18096,4508,2791,4,966986107,M,25,20,15701,Airplane! (1980),Comedy
785952,5169,2942,4,961890154,F,50,4,53562,Flashdance (1983),Drama|Romance
843300,3504,3852,4,966982064,M,18,7,02215,"Tao of Steve, The (2000)",Comedy
462013,543,2090,4,976158812,M,25,5,55057,"Rescuers, The (1977)",Animation|Children's
496097,1449,1104,4,976312704,M,35,20,17112,"Streetcar Named Desire, A (1951)",Drama
628057,4508,3863,4,966818562,M,25,20,15701,"Cell, The (2000)",Sci-Fi|Thriller
880871,1943,410,4,993575371,M,18,4,91501,Addams Family Values (1993),Comedy
297343,3053,1089,3,970601864,F,25,3,55102,Reservoir Dogs (1992),Crime|Thriller
305432,404,2683,4,985827238,M,18,4,10128,Austin Powers: The Spy Who Shagged Me (1999),Comedy
50328,3718,1028,3,966265418,M,50,17,07728,Mary Poppins (1964),Children's|Comedy|Musical
446648,5319,671,5,960865026,M,18,17,94941,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
498887,5728,370,3,958474144,F,35,20,09824,Naked Gun 33 1/3: The Final Insult (1994),Comedy
747142,583,2411,4,993161771,F,25,0,48067,Rocky IV (1985),Action|Drama
965863,1284,3272,4,978826594,M,45,16,33334,Bad Lieutenant (1992),Crime|Drama
789260,1404,471,3,974765002,M,50,16,91360,"Hudsucker Proxy, The (1994)",Comedy|Romance
74076,260,1687,3,976671562,M,18,19,98126,"Jackal, The (1997)",Action|Thriller
669281,4363,3705,3,965185515,M,35,14,91602,Bird on a Wire (1990),Action|Adventure|Romance|Thriller
761682,3158,2709,3,993074871,M,25,15,15217,Muppets From Space (1999),Children's|Comedy
815510,5361,1183,1,960520019,F,50,16,92026,"English Patient, The (1996)",Drama|Romance|War
721828,1010,3210,4,975229171,M,25,0,10310,Fast Times at Ridgemont High (1982),Comedy
642793,2627,2010,3,977108774,M,25,1,06877,Metropolis (1926),Sci-Fi
732735,1186,2202,4,984520692,M,18,19,98502,Lifeboat (1944),Drama|Thriller|War
488163,5098,3704,2,962370586,M,50,7,19380,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi
22447,3821,2321,3,974761869,M,25,20,44313,Pleasantville (1998),Comedy
943193,3520,3791,4,1041529435,M,25,0,40515,Footloose (1984),Drama
839924,5124,2919,3,962201283,M,35,2,20818,Year of Living Dangerously (1982),Drama|Romance
147337,2641,1953,4,973568428,M,25,6,19428,"French Connection, The (1971)",Action|Crime|Drama|Thriller
654499,1068,222,3,974946552,F,18,4,77581,Circle of Friends (1995),Drama|Romance
723120,1579,2416,3,1034058037,M,25,0,60201,Back to School (1986),Comedy
448862,1695,2657,5,974707751,M,25,1,97206,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi
911701,1096,1731,2,974935448,M,1,10,80439,Mr. Magoo (1997),Comedy
173939,1937,318,3,974705784,M,25,11,92335,"Shawshank Redemption, The (1994)",Drama
849723,4671,3697,3,963794861,M,25,12,94043,Predator 2 (1990),Action|Sci-Fi|Thriller
902021,4578,482,5,964797143,M,25,0,02134,Killing Zoe (1994),Thriller
991997,881,470,1,975264078,M,18,14,76401,House Party 3 (1994),Comedy
286409,5682,1722,3,1026684540,M,18,0,23455-4959,Tomorrow Never Dies (1997),Action|Romance|Thriller
815310,4064,1183,4,965479845,M,45,0,20851,"English Patient, The (1996)",Drama|Romance|War
984407,5636,3042,1,959052974,M,25,7,98102,Meatballs III (1987),Comedy
962934,4064,3834,3,965478600,M,45,0,20851,Bronco Billy (1980),Adventure|Drama|Romance
374480,678,3250,4,989239236,M,25,0,34952,Alive (1993),Drama
623674,3829,2805,1,965932248,F,25,1,22307,Mickey Blue Eyes (1999),Comedy|Romance
555999,3834,2706,4,966395782,M,18,2,02322,American Pie (1999),Comedy
914077,5433,1401,4,960241322,F,35,17,45014,Ghosts of Mississippi (1996),Drama
359099,5250,3148,5,961356053,M,50,6,01545,"Cider House Rules, The (1999)",Drama
908789,3618,3185,4,966597236,M,56,17,22657,Snow Falling on Cedars (1999),Drama
794343,5352,3469,3,960649063,F,35,5,55306,Inherit the Wind (1960),Drama
682387,4906,3698,3,962681029,M,50,17,49506,"Running Man, The (1987)",Action|Adventure|Sci-Fi
648927,2854,2542,2,972537546,F,18,4,64151,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller
68202,4879,1103,4,962769106,M,25,3,60626,Rebel Without a Cause (1955),Drama
340040,5511,266,4,959801429,M,45,1,92407,Legends of the Fall (1994),Drama|Romance|War|Western
146530,867,3735,1,975277169,M,45,12,95814,Serpico (1973),Crime|Drama
36927,1442,783,1,974765412,M,18,2,12345,"Hunchback of Notre Dame, The (1996)",Animation|Children's|Musical
185089,2222,1394,1,974599151,F,45,1,13088,Raising Arizona (1987),Comedy
531020,764,1073,5,975453051,M,18,20,85296,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy
126647,3978,2427,4,965632181,M,35,13,78252,"Thin Red Line, The (1998)",Action|Drama|War
351952,4835,474,4,962895917,M,25,20,14450,In the Line of Fire (1993),Action|Thriller
278495,5544,3176,5,963464544,M,25,15,08876,"Talented Mr. Ripley, The (1999)",Drama|Mystery|Thriller
452817,22,1282,4,978135153,M,18,15,53706,Fantasia (1940),Animation|Children's|Musical
224299,854,1240,4,975355564,F,25,16,44092,"Terminator, The (1984)",Action|Sci-Fi|Thriller
568264,1297,440,2,974791677,M,25,7,92109,Dave (1993),Comedy|Romance
672080,3626,1606,3,966609330,M,25,17,75075,Kull the Conqueror (1997),Action|Adventure
501906,1109,954,5,974921076,M,18,10,45904,Mr. Smith Goes to Washington (1939),Drama
139565,3411,95,1,967415174,M,18,4,02139,Broken Arrow (1996),Action|Thriller
796275,4227,947,5,965315410,M,25,19,11414-2520,My Man Godfrey (1936),Comedy
863264,4169,3251,4,971581120,M,50,0,66048,Agnes of God (1985),Drama|Mystery
280112,2247,2013,3,1026402702,M,45,2,60613,"Poseidon Adventure, The (1972)",Action|Adventure
271979,3444,1923,1,967304785,M,50,14,33401,There's Something About Mary (1998),Comedy
219403,412,1387,5,976293112,M,35,15,55117,Jaws (1975),Action|Horror
167564,4833,3095,5,962898179,M,35,16,81321,"Grapes of Wrath, The (1940)",Drama
850653,1683,1977,1,974711703,F,25,7,98109,Friday the 13th: The Final Chapter (1984),Horror
698841,2777,3082,2,973124640,M,18,4,95326,"World Is Not Enough, The (1999)",Action|Thriller
524453,255,3175,5,976680581,M,35,0,85310,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
184713,524,1394,5,976169496,M,18,0,91320,Raising Arizona (1987),Comedy
192081,5744,2997,4,960856759,F,25,4,66044,Being John Malkovich (1999),Comedy
257309,1181,2282,3,976142592,M,35,7,20716,Pecker (1998),Comedy|Drama
8559,2909,1287,5,971967438,M,25,7,43228,Ben-Hur (1959),Action|Adventure|Drama
746394,1088,431,1,1042410404,F,1,10,98103,Carlito's Way (1993),Crime|Drama
22130,2181,2321,3,974668595,M,25,0,45245,Pleasantville (1998),Comedy
743540,3859,2322,3,965927714,M,25,0,89145,Soldier (1998),Action|Adventure|Sci-Fi|Thriller|War
600229,2529,762,3,974061867,F,35,9,95903,Striptease (1996),Comedy|Crime
803802,5886,2944,3,957488721,M,25,20,02139,"Dirty Dozen, The (1967)",Action|War
792664,2962,491,2,977169455,M,35,3,94109,"Man Without a Face, The (1993)",Drama
616964,515,2391,3,976204038,M,25,1,55406,"Simple Plan, A (1998)",Crime|Thriller
447203,2700,1278,5,973482458,M,25,7,30117,Young Frankenstein (1974),Comedy|Horror
151981,216,1124,5,976871261,M,45,13,52761,On Golden Pond (1981),Drama
311945,4482,562,4,965019173,F,35,1,94044,Welcome to the Dollhouse (1995),Comedy|Drama
151927,5787,235,5,1033847762,M,25,20,90802,Ed Wood (1994),Comedy|Drama
814155,4995,3787,5,968297554,M,50,20,55419,Shower (Xizhao) (1999),Comedy
990829,4169,1332,3,971581266,M,50,0,66048,"Believers, The (1987)",Horror|Thriller
824922,1340,2926,2,974785488,M,25,7,14302,Hairspray (1988),Comedy|Drama
821892,4345,3111,5,966355656,F,25,14,44304,Places in the Heart (1984),Drama
792159,3224,122,2,968522567,F,25,14,93428,Boomerang (1992),Comedy|Romance
939593,1980,3824,1,974684158,M,35,7,06460,Autumn in New York (2000),Drama|Romance
843495,1579,1172,5,1015303129,M,25,0,60201,Cinema Paradiso (1988),Comedy|Drama|Romance
633051,3624,2311,4,966563901,M,25,12,60068,2010 (1984),Mystery|Sci-Fi
242263,3825,296,5,965939466,M,18,1,06279,Pulp Fiction (1994),Crime|Drama
503704,5723,3593,1,999130114,M,18,12,55057,Battlefield Earth (2000),Action|Sci-Fi
506595,4271,2431,3,965309174,M,35,7,83405,Patch Adams (1998),Comedy|Drama
984523,5788,3048,3,958110260,M,25,0,92646,Under the Rainbow (1981),Comedy
117361,1679,480,5,974708470,M,25,12,98052,Jurassic Park (1993),Action|Adventure|Sci-Fi
993568,3539,1455,4,966930570,F,25,4,77006,Hotel de Love (1996),Comedy|Romance
637913,1884,2346,3,974693939,M,45,20,93108,"Stepford Wives, The (1975)",Sci-Fi|Thriller
937993,2659,1238,5,973469213,M,35,14,01060,Local Hero (1983),Comedy
2984,424,3408,5,978013283,M,25,17,55112,Erin Brockovich (2000),Drama
682734,3182,485,1,968781372,M,25,12,12866,Last Action Hero (1993),Action|Comedy
429369,3526,586,4,966905387,M,35,2,62263-3004,Home Alone (1990),Children's|Comedy
44548,3796,1961,5,966016934,M,45,14,02021,Rain Man (1988),Drama
779365,693,1100,2,975564301,M,35,12,98103,Days of Thunder (1990),Action|Romance
378093,4362,2023,3,965187312,M,25,17,85016,"Godfather: Part III, The (1990)",Action|Crime|Drama
980262,2063,725,3,975362154,M,25,4,43138,"Great White Hype, The (1996)",Comedy
517402,3752,2872,3,966121816,F,18,1,86314,Excalibur (1981),Action|Drama|Fantasy|Romance
881180,5954,410,3,957128990,M,45,11,70802,Addams Family Values (1993),Comedy
123726,496,1372,5,996858884,M,18,4,55455,Star Trek VI: The Undiscovered Country (1991),Action|Adventure|Sci-Fi
816811,3020,154,4,970512112,F,35,7,60302,Belle de jour (1967),Drama
314686,1112,2908,5,974944289,M,18,6,19104,Boys Don't Cry (1999),Drama
851720,3620,1894,2,972867489,M,25,7,94117,Six Days Seven Nights (1998),Adventure|Comedy|Romance
679245,2934,616,3,971499064,F,35,20,91324,"Aristocats, The (1970)",Animation|Children's
223367,1680,2947,4,974838725,M,25,20,95380,Goldfinger (1964),Action
759138,3180,372,2,968801585,M,25,14,07430,Reality Bites (1994),Comedy|Drama
318792,1297,1243,4,974791523,M,25,7,92109,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama
285863,1920,1722,4,974776378,F,35,7,80122,Tomorrow Never Dies (1997),Action|Romance|Thriller
991326,1698,2521,2,975881512,M,35,2,97214,Airport 1975 (1974),Drama
599965,4388,832,4,965220331,M,45,3,75074,Ransom (1996),Drama|Thriller
489422,1211,858,5,974842481,M,18,4,10027,"Godfather, The (1972)",Action|Crime|Drama
